0.09060161   0.05230886     -0.38857   -0.17688   -0.06558   -0.05337	 0.50823    0.57473    0.58204    0.61290    0.61567	0.78975    
0.09060161   0.04730886     -0.81575   -0.38857   -0.17737   -0.08709	-0.03072    0.50820    0.55700    0.59079    0.59795	0.64010    
0.09060161   0.04230886     -0.78864   -0.38858   -0.17912   -0.11187	-0.00214    0.50803    0.52931    0.58782    0.60029	0.67002    
0.09060161   0.03730886     -0.76254   -0.38859   -0.18325   -0.13359	 0.02724    0.49784    0.50896    0.58182    0.60788	0.70132    
0.09060161   0.03230886     -0.73774   -0.38860   -0.19210   -0.14940	 0.05715    0.46686    0.50850    0.57709    0.61544	0.73305    
0.09060161   0.02730886     -0.71462   -0.38863   -0.20655   -0.15798	 0.08744    0.43514    0.50843    0.57324    0.62305	0.74125    
0.09060161   0.02230886     -0.69370   -0.38866   -0.22341   -0.16196	 0.11803    0.40325    0.50841    0.57009    0.63070	0.73058    
0.08560161   0.05230886     -0.82792   -0.38857   -0.17706   -0.07574	-0.04144    0.50787    0.55423    0.58096    0.61764	0.63375    
0.08560161   0.04730886     -0.83397   -0.38857   -0.17676   -0.07050	-0.04462    0.50795    0.54997    0.56294    0.62568	0.64918    
0.08560161   0.04230886     -0.80796   -0.38858   -0.17737   -0.09446	-0.01629    0.50769    0.51985    0.56948    0.62004	0.68085    
0.08560161   0.03730886     -0.78310   -0.38859   -0.17917   -0.11709	 0.01346    0.48744    0.50858    0.57676    0.61529	0.71286    
0.08560161   0.03230886     -0.75969   -0.38861   -0.18311   -0.13634	 0.04374    0.45571    0.50849    0.58432    0.61126	0.72763    
0.08560161   0.02730886     -0.73812   -0.38863   -0.19078   -0.15010	 0.07436    0.42373    0.50851    0.59208    0.60790	0.71566    
0.08560161   0.02230886     -1.00792   -0.71883   -0.38865   -0.20226	-0.15780    0.10525    0.39168    0.50854    0.59959	0.60553    
0.08060161   0.05230886     -0.81402   -0.38856   -0.17759   -0.08831	-0.02356    0.50526    0.52590    0.57273    0.62879	0.66436    
0.08060161   0.04730886     -0.84398   -0.38857   -0.17654   -0.06190	-0.04702    0.50617    0.53131    0.54206    0.65669	0.66282    
0.08060161   0.04230886     -0.82859   -0.38858   -0.17638   -0.07514	-0.02855    0.50519    0.51094    0.53895    0.65341	0.69341    
0.08060161   0.03730886     -0.80493   -0.38859   -0.17695   -0.09748	 0.00132    0.47701    0.50774    0.54605    0.64921	0.71656    
0.08060161   0.03230886     -0.78282   -0.38860   -0.17844   -0.11777	 0.03186    0.44510    0.50793    0.55375    0.64546	0.70363    
0.08060161   0.02730886     -0.76264   -0.38862   -0.18134   -0.13485	 0.06274    0.41305    0.50812    0.56185    0.64218	0.69097    
0.08060161   0.02230886     -0.74478   -0.38864   -0.18638   -0.14753	 0.09385    0.38095    0.50827    0.57024    0.63933	0.67891    
0.07560161   0.05230886     -0.80219   -0.38855   -0.17841   -0.09894	-0.00404    0.48626    0.51262    0.56340    0.64192	0.69650    
0.07560161   0.04730886     -0.83274   -0.38856   -0.17661   -0.07062	-0.02868    0.49211    0.51371    0.53188    0.67383	0.69150    
0.07560161   0.04230886     -0.85030   -0.38857   -0.17587   -0.05530	-0.03789    0.49509    0.50233    0.51597    0.68546	0.70537    
0.07560161   0.03730886     -0.82776   -0.38858   -0.17575   -0.07589	-0.00898    0.46715    0.50260    0.51968    0.67997	0.69735    
0.07560161   0.03230886     -0.80686   -0.38860   -0.17614   -0.09592	 0.02168    0.43528    0.50506    0.52553    0.67223	0.68778    
0.07560161   0.02730886     -0.78791   -0.38862   -0.17704   -0.11370	 0.05271    0.40325    0.50644    0.53294    0.66166	0.68177    
0.07560161   0.02230886     -0.77130   -0.38863   -0.17855   -0.12863	 0.08395    0.37118    0.50721    0.54125    0.64989	0.67787    
0.07060161   0.05230886     -0.79270   -0.38854   -0.17942   -0.10721	 0.01665    0.45541    0.51095    0.55435    0.65605	0.71218    
0.07060161   0.04730886     -0.82366   -0.38855   -0.17687   -0.07886	-0.00749    0.46260    0.51100    0.52281    0.68769	0.69817    
0.07060161   0.04230886     -0.85466   -0.38856   -0.17565   -0.05004	-0.02939    0.46994    0.49094    0.51164    0.68331	0.69529    
0.07060161   0.03730886     -0.85139   -0.38858   -0.17510   -0.05314	-0.01716    0.45794    0.47911    0.51203    0.66871	0.68470    
0.07060161   0.03230886     -0.83158   -0.38859   -0.17494   -0.07228	 0.01332    0.42634    0.48691    0.51283    0.65424	0.67514    
0.07060161   0.02730886     -0.81374   -0.38861   -0.17505   -0.08965	 0.04438    0.39442    0.49460    0.51445    0.64009	0.66689    
0.07060161   0.02230886     -0.79820   -0.38862   -0.17536   -0.10467	 0.07566    0.36244    0.50082    0.51789    0.62641	0.66000    
0.06560161   0.05230886     -0.78580   -0.38853   -0.18044   -0.11296	 0.03828    0.42342    0.51047    0.54597    0.67061	0.69380    
0.06560161   0.04730886     -0.81695   -0.38854   -0.17719   -0.08495	 0.01482    0.43120    0.50987    0.51498    0.67793	0.68399    
0.06560161   0.04230886     -0.84809   -0.38855   -0.17560   -0.05546	-0.00710    0.43946    0.48244    0.51083    0.66280	0.67126    
0.06560161   0.03730886     -0.87560   -0.38857   -0.17475   -0.03173	-0.02096    0.44616    0.45288    0.51088    0.64733	0.65997    
0.06560161   0.03230886     -0.85682   -0.38858   -0.17429   -0.04761	 0.00696    0.41834    0.45822    0.51102    0.63199	0.65016    
0.06560161   0.02730886     -0.83997   -0.38860   -0.17404   -0.06422	 0.03787    0.38662    0.46779    0.51127    0.61699	0.64176    
0.06560161   0.02230886     -0.97253   -0.82537   -0.38861   -0.17391	-0.07868    0.06907    0.35479    0.47761    0.51172	0.60247    
0.09060161   0.05230886     -0.84322   -0.38857   -0.17688   -0.06558	-0.05337    0.50823    0.57473    0.58204    0.61290	0.61567    
0.09060161   0.05730886     -0.81575   -0.38857   -0.17737   -0.08708	-0.03071    0.50820    0.55699    0.59078    0.59796	0.64012    
0.09060161   0.06230886     -0.78864   -0.38858   -0.17912   -0.11187	-0.00214    0.50803    0.52929    0.58785    0.60027	0.67004    
0.09060161   0.06730886     -0.76255   -0.38859   -0.18325   -0.13359	 0.02724    0.49781    0.50896    0.58184    0.60786	0.70135    
0.09060161   0.07230886     -0.73775   -0.38860   -0.19210   -0.14940	 0.05715    0.46683    0.50850    0.57712    0.61541	0.73308    
0.09060161   0.07730886     -0.71463   -0.38863   -0.20654   -0.15798	 0.08744    0.43511    0.50843    0.57327    0.62303	0.74122    
0.09560161   0.05230886     -0.82792   -0.38857   -0.17706   -0.07574	-0.04144    0.50787    0.55421    0.58094    0.61767	0.63377    
0.09560161   0.05730886     -0.83397   -0.38857   -0.17676   -0.07050	-0.04462    0.50795    0.54994    0.56292    0.62570	0.64920    
0.09560161   0.06230886     -0.80796   -0.38858   -0.17736   -0.09446	-0.01628    0.50769    0.51983    0.56946    0.62007	0.68087    
0.09560161   0.06730886     -0.78310   -0.38859   -0.17917   -0.11709	 0.01346    0.48741    0.50858    0.57673    0.61532	0.71288    
0.09560161   0.07230886     -0.75970   -0.38861   -0.18311   -0.13633	 0.04374    0.45568    0.50848    0.58430    0.61129	0.72761    
0.09560161   0.07730886     -0.73813   -0.38863   -0.19078   -0.15010	 0.07437    0.42370    0.50851    0.59206    0.60793	0.71563    
0.10060161   0.05230886     -0.81402   -0.38856   -0.17759   -0.08830	-0.02355    0.50525    0.52588    0.57270    0.62882	0.66439    
0.10060161   0.05730886     -0.84399   -0.38857   -0.17654   -0.06190	-0.04701    0.50617    0.53129    0.54203    0.65672	0.66285    
0.10060161   0.06230886     -0.82860   -0.38858   -0.17638   -0.07513	-0.02855    0.50518    0.51092    0.53893    0.65344	0.69344    
0.10060161   0.06730886     -0.80493   -0.38859   -0.17695   -0.09747	 0.00133    0.47698    0.50773    0.54603    0.64924	0.71653    
0.10060161   0.07230886     -0.78283   -0.38860   -0.17844   -0.11776	 0.03187    0.44508    0.50793    0.55372    0.64549	0.70360    
0.10060161   0.07730886     -0.76265   -0.38862   -0.18134   -0.13484	 0.06275    0.41302    0.50812    0.56183    0.64221	0.69094    
0.10560161   0.05230886     -0.80220   -0.38855   -0.17841   -0.09894	-0.00403    0.48623    0.51262    0.56337    0.64195	0.69653    
0.10560161   0.05730886     -0.83275   -0.38856   -0.17661   -0.07062	-0.02867    0.49209    0.51370    0.53186    0.67386	0.69153    
0.10560161   0.06230886     -0.85031   -0.38857   -0.17587   -0.05529	-0.03788    0.49507    0.50231    0.51596    0.68548	0.70539    
0.10560161   0.06730886     -0.82777   -0.38858   -0.17575   -0.07588	-0.00898    0.46713    0.50259    0.51967    0.67999	0.69734    
0.10560161   0.07230886     -0.80687   -0.38860   -0.17614   -0.09591	 0.02168    0.43525    0.50505    0.52551    0.67222	0.68778    
0.10560161   0.07730886     -0.78793   -0.38862   -0.17703   -0.11369	 0.05272    0.40323    0.50643    0.53292    0.66164	0.68179    
0.11060161   0.05230886     -0.79271   -0.38854   -0.17942   -0.10720	 0.01666    0.45538    0.51095    0.55433    0.65608	0.71216    
0.11060161   0.05730886     -0.82366   -0.38855   -0.17687   -0.07885	-0.00748    0.46257    0.51099    0.52279    0.68772	0.69815    
0.11060161   0.06230886     -0.85467   -0.38856   -0.17565   -0.05003	-0.02938    0.46992    0.49092    0.51164    0.68328	0.69527    
0.11060161   0.06730886     -0.85140   -0.38858   -0.17510   -0.05312	-0.01715    0.45792    0.47909    0.51203    0.66868	0.68467    
0.11060161   0.07230886     -0.83159   -0.38859   -0.17494   -0.07226	 0.01333    0.42632    0.48689    0.51283    0.65421	0.67511    
0.11060161   0.07730886     -0.81376   -0.38861   -0.17505   -0.08964	 0.04439    0.39439    0.49458    0.51444    0.64006	0.66686    
0.11560161   0.05230886     -0.78581   -0.38853   -0.18044   -0.11295	 0.03829    0.42340    0.51047    0.54594    0.67064	0.69377    
0.11560161   0.05730886     -0.81696   -0.38854   -0.17719   -0.08494	 0.01483    0.43117    0.50986    0.51496    0.67791	0.68396    
0.11560161   0.06230886     -0.84811   -0.38855   -0.17559   -0.05545	-0.00709    0.43944    0.48242    0.51083    0.66277	0.67123    
0.11560161   0.06730886     -0.87561   -0.38857   -0.17475   -0.03172	-0.02095    0.44614    0.45286    0.51088    0.64730	0.65994    
0.11560161   0.07230886     -0.85683   -0.38858   -0.17429   -0.04759	 0.00697    0.41832    0.45820    0.51102    0.63196	0.65013    
